project,class_name,test_name,flaky,full_code,preprocessed_code,NoOfTokens for orignal code,tokens of reduced code,final_code
achilles,ArgumentExtractorTest,should_init_entity_packages,0.0,"@Test public void should_init_entity_packages() throws Exception {
  configMap.put(ENTITY_PACKAGES,""info.archinnov.achilles.test.sample.entity,info.archinnov.achilles.test.more.entity"");
  Collection<Class<?>> actual=extractor.initEntities(configMap,this.getClass().getClassLoader());
  assertThat(actual).containsOnly(Entity1.class,Entity2.class,Entity3.class);
}
","@Test public void should_init_entity_packages() throws Exception {
assertThat(actual).containsOnly(Entity1.class,Entity2.class,Entity3.class);
}",116.0,43.0,"@Test public void should_init_entity_packages() throws Exception {
  configMap.put(ENTITY_PACKAGES,""info.archinnov.achilles.test.sample.entity,info.archinnov.achilles.test.more.entity"");
  Collection<Class<?>> actual=extractor.initEntities(configMap,this.getClass().getClassLoader());
  assertThat(actual).containsOnly(Entity1.class,Entity2.class,Entity3.class);
}
"
achilles,ArgumentExtractorTest,should_init_empty_entity_packages,0.0,"@Test public void should_init_empty_entity_packages() throws Exception {
  Collection<Class<?>> actual=extractor.initEntities(configMap,this.getClass().getClassLoader());
  assertThat(actual).isEmpty();
}
","@Test public void should_init_empty_entity_packages() throws Exception {
assertThat(actual).isEmpty();
}",58.0,29.0,"@Test public void should_init_empty_entity_packages() throws Exception {
  Collection<Class<?>> actual=extractor.initEntities(configMap,this.getClass().getClassLoader());
  assertThat(actual).isEmpty();
}
"
achilles,ArgumentExtractorTest,should_init_entities_list,0.0,"@Test public void should_init_entities_list(){
  configMap.put(ENTITIES_LIST,Arrays.asList(Entity1.class));
  Collection<Class<?>> actual=extractor.initEntities(configMap,this.getClass().getClassLoader());
  assertThat(actual).contains(Entity1.class);
}
","@Test public void should_init_entities_list(){
assertThat(actual).contains(Entity1.class);
}",82.0,30.0,"@Test public void should_init_entities_list(){
  configMap.put(ENTITIES_LIST,Arrays.asList(Entity1.class));
  Collection<Class<?>> actual=extractor.initEntities(configMap,this.getClass().getClassLoader());
  assertThat(actual).contains(Entity1.class);
}
"
achilles,ArgumentExtractorTest,should_init_empty_entities_list,0.0,"@Test public void should_init_empty_entities_list(){
  Collection<Class<?>> actual=extractor.initEntities(configMap,this.getClass().getClassLoader());
  assertThat(actual).isEmpty();
}
","@Test public void should_init_empty_entities_list(){
assertThat(actual).isEmpty();
}",56.0,27.0,"@Test public void should_init_empty_entities_list(){
  Collection<Class<?>> actual=extractor.initEntities(configMap,this.getClass().getClassLoader());
  assertThat(actual).isEmpty();
}
"
achilles,ArgumentExtractorTest,should_init_from_packages_and_entities_list,0.0,"@Test public void should_init_from_packages_and_entities_list(){
  configMap.put(ENTITIES_LIST,Arrays.asList(Entity1.class));
  configMap.put(ENTITY_PACKAGES,""info.archinnov.achilles.test.more.entity"");
  Collection<Class<?>> actual=extractor.initEntities(configMap,this.getClass().getClassLoader());
  assertThat(actual).containsOnly(Entity1.class,Entity3.class);
}
","@Test public void should_init_from_packages_and_entities_list(){
assertThat(actual).containsOnly(Entity1.class,Entity3.class);
}",123.0,42.0,"@Test public void should_init_from_packages_and_entities_list(){
  configMap.put(ENTITIES_LIST,Arrays.asList(Entity1.class));
  configMap.put(ENTITY_PACKAGES,""info.archinnov.achilles.test.more.entity"");
  Collection<Class<?>> actual=extractor.initEntities(configMap,this.getClass().getClassLoader());
  assertThat(actual).containsOnly(Entity1.class,Entity3.class);
}
"
achilles,ArgumentExtractorTest,should_init_forceCFCreation_to_default_value,0.0,"@Test public void should_init_forceCFCreation_to_default_value() throws Exception {
  boolean actual=extractor.initForceTableCreation(configMap);
  assertThat(actual).isFalse();
}
","@Test public void should_init_forceCFCreation_to_default_value() throws Exception {
assertThat(actual).isFalse();
}",53.0,35.0,"@Test public void should_init_forceCFCreation_to_default_value() throws Exception {
  boolean actual=extractor.initForceTableCreation(configMap);
  assertThat(actual).isFalse();
}
"
achilles,ArgumentExtractorTest,should_init_forceCFCreation,0.0,"@Test public void should_init_forceCFCreation() throws Exception {
  configMap.put(FORCE_TABLE_CREATION,true);
  boolean actual=extractor.initForceTableCreation(configMap);
  assertThat(actual).isTrue();
}
","@Test public void should_init_forceCFCreation() throws Exception {
assertThat(actual).isTrue();
}",64.0,29.0,"@Test public void should_init_forceCFCreation() throws Exception {
  configMap.put(FORCE_TABLE_CREATION,true);
  boolean actual=extractor.initForceTableCreation(configMap);
  assertThat(actual).isTrue();
}
"
achilles,ArgumentExtractorTest,should_init_default_object_factory_mapper,0.0,"@Test public void should_init_default_object_factory_mapper() throws Exception {
  ObjectMapperFactory actual=extractor.initObjectMapperFactory(configMap);
  assertThat(actual).isNotNull();
  ObjectMapper mapper=actual.getMapper(Integer.class);
  assertThat(mapper).isNotNull();
  assertThat(mapper.getSerializationConfig().getSerializationInclusion()).isEqualTo(JsonInclude.Include.NON_NULL);
  assertThat(mapper.getDeserializationConfig().isEnabled(DeserializationFeature.FAIL_ON_UNKNOWN_PROPERTIES)).isFalse();
  Collection<AnnotationIntrospector> ais=mapper.getSerializationConfig().getAnnotationIntrospector().allIntrospectors();
  assertThat(ais).hasSize(2);
  Iterator<AnnotationIntrospector> iterator=ais.iterator();
  assertThat(iterator.next()).isInstanceOfAny(JacksonAnnotationIntrospector.class,JaxbAnnotationIntrospector.class);
  assertThat(iterator.next()).isInstanceOfAny(JacksonAnnotationIntrospector.class,JaxbAnnotationIntrospector.class);
}
","@Test public void should_init_default_object_factory_mapper() throws Exception {
assertThat(actual).isNotNull();
}",301.0,34.0,"@Test public void should_init_default_object_factory_mapper() throws Exception {
  ObjectMapperFactory actual=extractor.initObjectMapperFactory(configMap);
  assertThat(actual).isNotNull();
  ObjectMapper mapper=actual.getMapper(Integer.class);
  assertThat(mapper).isNotNull();
  assertThat(mapper.getSerializationConfig().getSerializationInclusion()).isEqualTo(JsonInclude.Include.NON_NULL);
  assertThat(mapper.getDeserializationConfig().isEnabled(DeserializationFeature.FAIL_ON_UNKNOWN_PROPERTIES)).isFalse();
  Collection<AnnotationIntrospector> ais=mapper.getSerializationConfig().getAnnotationIntrospector().allIntrospectors();
  assertThat(ais).hasSize(2);
  Iterator<AnnotationIntrospector> iterator=ais.iterator();
  assertThat(iterator.next()).isInstanceOfAny(JacksonAnnotationIntrospector.class,JaxbAnnotationIntrospector.class);
  assertThat(iterator.next()).isInstanceOfAny(JacksonAnnotationIntrospector.class,JaxbAnnotationIntrospector.class);
}
"
achilles,ArgumentExtractorTest,should_init_object_mapper_factory_from_mapper,0.0,"@Test public void should_init_object_mapper_factory_from_mapper() throws Exception {
  configMap.put(OBJECT_MAPPER,mapper);
  ObjectMapperFactory actual=extractor.initObjectMapperFactory(configMap);
  assertThat(actual).isNotNull();
  assertThat(actual.getMapper(Long.class)).isSameAs(mapper);
}
","@Test public void should_init_object_mapper_factory_from_mapper() throws Exception {
assertThat(actual).isNotNull();
}",96.0,37.0,"@Test public void should_init_object_mapper_factory_from_mapper() throws Exception {
  configMap.put(OBJECT_MAPPER,mapper);
  ObjectMapperFactory actual=extractor.initObjectMapperFactory(configMap);
  assertThat(actual).isNotNull();
  assertThat(actual.getMapper(Long.class)).isSameAs(mapper);
}
"
achilles,ArgumentExtractorTest,should_init_force_update,0.0,"@Test public void should_init_force_update() throws Exception {
  configMap.put(ENABLE_SCHEMA_UPDATE,true);
  boolean actual=extractor.initForceTableUpdate(configMap);
  assertThat(actual).isTrue();
}
","@Test public void should_init_force_update() throws Exception {
assertThat(actual).isTrue();
}",62.0,27.0,"@Test public void should_init_force_update() throws Exception {
  configMap.put(ENABLE_SCHEMA_UPDATE,true);
  boolean actual=extractor.initForceTableUpdate(configMap);
  assertThat(actual).isTrue();
}
"
